,Date_infections,Infections,State,Date_deaths,Deaths,Mandate_mask,StateWide_mask,PublicMask_date,PublicMask_end,Mandate_home,StateWide_home,StayAtHome_date,StayAtHome_end,StayAtHome_Delta,PublicMask_Delta,StayAtHome_deaths_Delta,PublicMask_deaths_Delta,PublicMask_policy_days,StayAtHome_policy_days
0,2020-04-05,112,Guam,,,,,,,,,,,,,,,,
1,2020-03-28,100,Puerto Rico,2020-05-07,102.0,,,,,,,,,,,,,,
2,2020-07-04,111,Virgin Islands,,,,,,,,,,,,,,,,
3,2020-05-14,104,Alabama,2020-05-28,100.0,0.0,1.0,2020-04-30,,1.0,1.0,2020-04-04,,-40 days +00:00:00.000000000,-14 days +00:00:00.000000000,-54 days +00:00:00.000000000,-28 days +00:00:00.000000000,,
4,2020-04-08,103,Alaska,,,0.0,1.0,2020-04-03,,1.0,0.0,2020-03-22,,-17 days +00:00:00.000000000,-5 days +00:00:00.000000000,,,,
5,2020-04-15,110,Arizona,2020-04-23,115.0,,,,,1.0,1.0,2020-03-31,,-15 days +00:00:00.000000000,,-23 days +00:00:00.000000000,,,
6,2020-04-29,101,Arkansas,,,0.0,1.0,2020-04-23,,,,,,,-6 days +00:00:00.000000000,,,,
7,2020-03-23,118,California,2020-06-05,101.0,0.0,1.0,2020-04-01,,1.0,1.0,2020-03-19,,-4 days +00:00:00.000000000,9 days 00:00:00.000000000,-78 days +00:00:00.000000000,-65 days +00:00:00.000000000,,
8,2020-03-29,110,Colorado,2020-05-16,102.0,0.0,1.0,2020-04-27,,1.0,1.0,2020-03-26,2020-04-27,-3 days +00:00:00.000000000,29 days 00:00:00.000000000,-51 days +00:00:00.000000000,-19 days +00:00:00.000000000,,32 days 00:00:00.000000000
9,2020-03-19,102,Connecticut,2020-04-06,101.0,1.0,1.0,2020-04-20,,0.0,1.0,2020-03-23,,4 days 00:00:00.000000000,32 days 00:00:00.000000000,-14 days +00:00:00.000000000,14 days 00:00:00.000000000,,
10,2020-04-06,128,Delaware,2020-05-12,100.0,1.0,1.0,2020-04-28,,1.0,1.0,2020-03-24,2020-06-01,-13 days +00:00:00.000000000,22 days 00:00:00.000000000,-49 days +00:00:00.000000000,-14 days +00:00:00.000000000,,69 days 00:00:00.000000000
11,2020-03-22,102,District of Columbia,2020-04-20,105.0,1.0,1.0,2020-04-17,2020-06-22,1.0,1.0,2020-04-01,,10 days 00:00:00.000000000,26 days 00:00:00.000000000,-19 days +00:00:00.000000000,-3 days +00:00:00.000000000,66 days 00:00:00.000000000,
12,2020-04-03,110,Florida,2020-04-16,101.0,0.0,1.0,2020-06-20,,1.0,1.0,2020-04-03,2020-05-04,0 days 00:00:00.000000000,78 days 00:00:00.000000000,-13 days +00:00:00.000000000,65 days 00:00:00.000000000,,31 days 00:00:00.000000000
13,2020-05-14,108,Georgia,2020-05-04,101.0,0.0,1.0,2020-05-01,,1.0,0.0,2020-03-24,,-51 days +00:00:00.000000000,-13 days +00:00:00.000000000,-41 days +00:00:00.000000000,-3 days +00:00:00.000000000,,
14,2020-03-28,108,Hawaii,,,0.0,1.0,2020-04-17,,1.0,1.0,2020-03-25,2020-06-10,-3 days +00:00:00.000000000,20 days 00:00:00.000000000,,,,77 days 00:00:00.000000000
15,2020-03-30,113,Idaho,,,0.0,1.0,2020-04-06,,1.0,0.0,2020-03-19,,-11 days +00:00:00.000000000,7 days 00:00:00.000000000,,,,
16,2020-07-02,100,Illinois,2020-04-02,107.0,1.0,1.0,2020-05-01,,1.0,1.0,2020-03-21,2020-05-29,-103 days +00:00:00.000000000,-62 days +00:00:00.000000000,-12 days +00:00:00.000000000,29 days 00:00:00.000000000,,69 days 00:00:00.000000000
17,2020-04-09,105,Indiana,2020-06-26,100.0,0.0,1.0,2020-05-22,,1.0,1.0,2020-03-25,2020-05-04,-15 days +00:00:00.000000000,43 days 00:00:00.000000000,-93 days +00:00:00.000000000,-35 days +00:00:00.000000000,,40 days 00:00:00.000000000
18,2020-05-08,101,Iowa,2020-05-23,106.0,,,,,,,,,,,,,,
19,2020-06-17,156,Kansas,,,0.0,1.0,2020-05-04,,1.0,1.0,2020-03-30,,-79 days +00:00:00.000000000,-44 days +00:00:00.000000000,,,,
20,2020-06-09,100,Kentucky,2020-05-04,101.0,0.0,1.0,2020-04-04,,0.0,1.0,2020-03-26,,-75 days +00:00:00.000000000,-66 days +00:00:00.000000000,-39 days +00:00:00.000000000,-30 days +00:00:00.000000000,,
21,2020-04-13,101,Louisiana,2020-04-28,100.0,0.0,1.0,2020-04-27,,1.0,1.0,2020-03-23,2020-05-15,-21 days +00:00:00.000000000,14 days 00:00:00.000000000,-36 days +00:00:00.000000000,-1 days +00:00:00.000000000,,53 days 00:00:00.000000000
22,2020-05-13,103,Maine,,,1.0,1.0,2020-05-01,,1.0,1.0,2020-04-02,2020-05-29,-41 days +00:00:00.000000000,-12 days +00:00:00.000000000,,,,57 days 00:00:00.000000000
23,2020-04-25,105,Maryland,2020-05-04,101.0,1.0,1.0,2020-04-18,,1.0,1.0,2020-03-30,,-26 days +00:00:00.000000000,-7 days +00:00:00.000000000,-35 days +00:00:00.000000000,-16 days +00:00:00.000000000,,
24,2020-03-27,100,Massachusetts,2020-05-22,103.0,1.0,1.0,2020-05-06,,0.0,1.0,2020-03-24,2020-05-18,-3 days +00:00:00.000000000,40 days 00:00:00.000000000,-59 days +00:00:00.000000000,-16 days +00:00:00.000000000,,55 days 00:00:00.000000000
25,2020-04-28,104,Michigan,2020-04-15,100.0,1.0,1.0,2020-04-27,,1.0,1.0,2020-03-24,,-35 days +00:00:00.000000000,-1 days +00:00:00.000000000,-22 days +00:00:00.000000000,12 days 00:00:00.000000000,,
26,2020-04-22,105,Minnesota,2020-06-21,102.0,0.0,1.0,2020-05-04,,1.0,1.0,2020-03-28,,-25 days +00:00:00.000000000,12 days 00:00:00.000000000,-85 days +00:00:00.000000000,-48 days +00:00:00.000000000,,
27,2020-04-23,101,Mississippi,,,1.0,0.0,2020-05-12,,1.0,0.0,2020-03-31,,-23 days +00:00:00.000000000,19 days 00:00:00.000000000,,,,
28,2020-06-04,102,Missouri,2020-04-15,101.0,0.0,1.0,2020-04-07,,1.0,1.0,2020-04-06,,-59 days +00:00:00.000000000,-58 days +00:00:00.000000000,-9 days +00:00:00.000000000,-8 days +00:00:00.000000000,,
29,2020-04-04,101,Montana,,,,,,,1.0,1.0,2020-03-28,2020-04-26,-7 days +00:00:00.000000000,,,,,29 days 00:00:00.000000000
30,2020-04-20,100,Nebraska,,,,,,,,,,,,,,,,
31,2020-03-20,126,Nevada,2020-04-12,100.0,0.0,1.0,2020-05-09,,1.0,1.0,2020-03-31,2020-05-09,11 days 00:00:00.000000000,50 days 00:00:00.000000000,-12 days +00:00:00.000000000,27 days 00:00:00.000000000,,39 days 00:00:00.000000000
32,2020-04-01,109,New Hampshire,2020-05-29,134.0,,,,,1.0,1.0,2020-03-28,2020-06-16,-4 days +00:00:00.000000000,,-62 days +00:00:00.000000000,,,80 days 00:00:00.000000000
33,2020-04-05,121,New Jersey,2020-05-15,107.0,1.0,1.0,2020-04-13,,1.0,1.0,2020-03-21,,-15 days +00:00:00.000000000,8 days 00:00:00.000000000,-55 days +00:00:00.000000000,-32 days +00:00:00.000000000,,
34,2020-03-29,101,New Mexico,2020-05-28,100.0,1.0,1.0,2020-05-15,,0.0,1.0,2020-03-24,,-5 days +00:00:00.000000000,47 days 00:00:00.000000000,-65 days +00:00:00.000000000,-13 days +00:00:00.000000000,,
35,2020-03-22,123,New York,2020-06-01,112.0,1.0,1.0,2020-04-17,,1.0,1.0,2020-03-22,2020-05-15,0 days 00:00:00.000000000,26 days 00:00:00.000000000,-71 days +00:00:00.000000000,-45 days +00:00:00.000000000,,54 days 00:00:00.000000000
36,2020-04-30,109,North Carolina,2020-06-19,105.0,0.0,1.0,2020-05-08,,1.0,1.0,2020-03-30,,-31 days +00:00:00.000000000,8 days 00:00:00.000000000,-81 days +00:00:00.000000000,-42 days +00:00:00.000000000,,
37,2020-05-06,102,North Dakota,,,,,,,,,,,,,,,,
38,2020-04-23,100,Ohio,2020-04-28,109.0,0.0,1.0,2020-04-04,,1.0,1.0,2020-03-24,,-30 days +00:00:00.000000000,-19 days +00:00:00.000000000,-35 days +00:00:00.000000000,-24 days +00:00:00.000000000,,
39,2020-06-18,101,Oklahoma,,,,,,,1.0,0.0,2020-03-24,,-86 days +00:00:00.000000000,,,,,
40,2020-04-09,109,Oregon,,,1.0,0.0,2020-06-24,,1.0,1.0,2020-03-23,2020-05-15,-17 days +00:00:00.000000000,76 days 00:00:00.000000000,,,,53 days 00:00:00.000000000
41,2020-04-24,110,Pennsylvania,2020-05-02,102.0,0.0,1.0,2020-04-03,,1.0,0.0,2020-03-23,,-32 days +00:00:00.000000000,-21 days +00:00:00.000000000,-40 days +00:00:00.000000000,-29 days +00:00:00.000000000,,
42,2020-04-24,102,Rhode Island,2020-04-17,115.0,1.0,1.0,2020-05-08,,1.0,1.0,2020-03-28,2020-05-09,-27 days +00:00:00.000000000,14 days 00:00:00.000000000,-20 days +00:00:00.000000000,21 days 00:00:00.000000000,,42 days 00:00:00.000000000
43,2020-06-26,100,South Carolina,,,,,,,1.0,1.0,2020-04-07,2020-05-04,-80 days +00:00:00.000000000,,,,,27 days 00:00:00.000000000
44,2020-05-23,118,South Dakota,,,,,,,1.0,0.0,2020-04-06,,-47 days +00:00:00.000000000,,,,,
45,2020-06-30,102,Tennessee,2020-06-24,102.0,0.0,1.0,2020-04-29,,0.0,1.0,2020-04-01,,-90 days +00:00:00.000000000,-62 days +00:00:00.000000000,-84 days +00:00:00.000000000,-56 days +00:00:00.000000000,,
46,2020-06-13,102,Texas,2020-06-24,100.0,0.0,1.0,2020-05-05,,1.0,1.0,2020-04-02,2020-04-27,-72 days +00:00:00.000000000,-39 days +00:00:00.000000000,-83 days +00:00:00.000000000,-50 days +00:00:00.000000000,,25 days 00:00:00.000000000
47,2020-04-02,103,Utah,2020-06-18,100.0,0.0,1.0,2020-04-10,,1.0,0.0,2020-03-27,,-6 days +00:00:00.000000000,8 days 00:00:00.000000000,-83 days +00:00:00.000000000,-69 days +00:00:00.000000000,,
48,2020-03-28,105,Vermont,,,0.0,1.0,2020-04-20,,1.0,1.0,2020-03-24,2020-05-15,-4 days +00:00:00.000000000,23 days 00:00:00.000000000,,,,52 days 00:00:00.000000000
49,2020-04-24,100,Virginia,2020-05-25,101.0,0.0,1.0,2020-05-26,,1.0,1.0,2020-03-30,,-25 days +00:00:00.000000000,32 days 00:00:00.000000000,-56 days +00:00:00.000000000,1 days 00:00:00.000000000,,
50,2020-06-16,100,Washington,2020-03-25,101.0,0.0,1.0,2020-05-04,,1.0,1.0,2020-03-23,2020-06-01,-85 days +00:00:00.000000000,-43 days +00:00:00.000000000,-2 days +00:00:00.000000000,40 days 00:00:00.000000000,,70 days 00:00:00.000000000
51,2020-04-14,100,West Virginia,,,0.0,1.0,2020-06-29,,1.0,1.0,2020-03-24,2020-05-04,-21 days +00:00:00.000000000,76 days 00:00:00.000000000,,,,41 days 00:00:00.000000000
52,2020-04-15,114,Wisconsin,2020-04-14,101.0,0.0,1.0,2020-05-28,,1.0,1.0,2020-03-25,,-21 days +00:00:00.000000000,43 days 00:00:00.000000000,-20 days +00:00:00.000000000,44 days 00:00:00.000000000,,
53,2020-04-27,106,Wyoming,,,0.0,1.0,2020-04-06,,,,,,,-21 days +00:00:00.000000000,,,,
54,2020-03-28,103,Grand Princess,,,,,,,,,,,,,,,,
